shooting_type,age_group,race,sex,lat,lng
nonlethal,45-64,Hispanic,Female,40.836266064,-73.911328663
nonlethal,18-24,Black,Male,40.6567645590001,-73.904049061
nonlethal,25-44,Hispanic,Male,40.7017931820001,-73.806333175
nonlethal,25-44,Black,Male,40.786944463,-73.943573426
nonlethal,18-24,Black,Male,40.8167255920001,-73.934758285
nonlethal,25-44,Black,Male,40.661741239,-73.960771324
nonlethal,25-44,Black,Male,40.786944463,-73.943573426
lethal,0-17,Black,Female,40.667789106,-73.905871605
nonlethal,25-44,Black,Male,40.701901966,-73.9216057359999
lethal,45-64,Hispanic,Male,40.8254642650001,-73.91316775
nonlethal,25-44,Black,Male,40.6958675320001,-73.8200576949999
nonlethal,18-24,Black,Male,40.7919976160001,-73.9497194209999
lethal,25-44,Black,Male,40.8306412970001,-73.874879189
nonlethal,25-44,Black,Male,40.854431478,-73.905589403
lethal,25-44,Black,Male,40.885200688,-73.86527957
lethal,25-44,Black,Male,40.6703624580001,-73.926797743
nonlethal,25-44,Black,Male,40.8607169750001,-73.8992503169999
lethal,18-24,Hispanic,Male,40.830722328,-73.827126059
nonlethal,25-44,Hispanic,Male,40.8378421210001,-73.9196277519999
lethal,25-44,Black,Male,40.6887399300001,-73.928717513
nonlethal,18-24,Black,Male,40.711565433,-73.768185063
nonlethal,25-44,Hispanic,Male,40.717448534,-73.9402809869999
lethal,25-44,Hispanic,Male,40.850415995,-73.893034331
nonlethal,25-44,Black,Male,40.6584337420001,-73.90447556
nonlethal,18-24,Hispanic,Male,40.8166993770001,-73.892445447
nonlethal,25-44,Black,Male,40.6912907130001,-73.797795845
nonlethal,25-44,Black,Female,40.682934679,-74.006365205
nonlethal,25-44,Hispanic,Male,40.7871345390001,-73.944999678
nonlethal,25-44,Black,Male,40.607821351,-73.759195838
nonlethal,25-44,Black,Male,40.6421030280001,-73.948639667
nonlethal,18-24,Black,Male,40.6627675030001,-73.907529526
nonlethal,25-44,Black,Male,40.6716240860001,-73.925289503
nonlethal,45-64,Black,Female,40.6703624580001,-73.926797743
nonlethal,45-64,Black,Female,40.672011309,-73.7579546979999
lethal,45-64,Black,Male,40.6847439700001,-73.950445696
nonlethal,25-44,Hispanic,Male,40.8647246740001,-73.890683006
nonlethal,18-24,Black,Male,40.6651938890001,-73.959951055
nonlethal,45-64,Black,Male,40.7245895300001,-73.9753819329999
nonlethal,45-64,Hispanic,Male,40.847291559,-73.901189919
nonlethal,45-64,Black,Male,40.8795864790001,-73.850822533
lethal,25-44,Black,Male,40.802091971,-73.9370012219999
nonlethal,25-44,Black,Male,40.8366979460001,-73.869089226
nonlethal,45-64,Hispanic,Female,40.850222784,-73.931259031
nonlethal,45-64,Black,Male,40.823180032,-73.8665360429999
lethal,25-44,Black,Male,40.8617089090001,-73.891382086
nonlethal,18-24,Hispanic,Male,40.7721633470001,-73.954370099
nonlethal,25-44,Other,Male,40.6399320740001,-74.0085338339999
nonlethal,18-24,Black,Male,40.6987125050001,-73.939771237
nonlethal,18-24,Black,Male,40.6683495660001,-73.906516063
nonlethal,25-44,Hispanic,Female,40.8386896610001,-73.9188063569999
nonlethal,18-24,Black,Male,40.8773339430001,-73.858030813
nonlethal,18-24,Hispanic,Male,40.6906584700001,-73.864497098
nonlethal,0-17,Black,Male,40.8902504860001,-73.8602998809999
nonlethal,25-44,Hispanic,Male,40.8087779430001,-73.923130702
nonlethal,18-24,Hispanic,Male,40.7180121920001,-73.9865854239999
nonlethal,25-44,Black,Male,40.7894577280001,-73.941743979
nonlethal,18-24,Black,Male,40.6363027370001,-73.919048996
nonlethal,25-44,Black,Male,40.7209661910001,-73.846967517
nonlethal,18-24,Hispanic,Female,40.8233872910001,-73.87017045
nonlethal,25-44,Black,Male,40.7554430050001,-73.943423246
lethal,25-44,Black,Male,40.7068520770001,-73.7533773549999
nonlethal,25-44,Hispanic,Male,40.8288083840001,-73.894666205
nonlethal,45-64,Black,Male,40.8381182000001,-73.914239031
lethal,18-24,Hispanic,Female,40.877788706,-73.8738322
nonlethal,45-64,Black,Male,40.5739063240001,-73.9993858989999
lethal,18-24,Other,Male,40.8142676480001,-73.948185286
lethal,25-44,Hispanic,Male,40.8364468510001,-73.904017601
nonlethal,18-24,Black,Male,40.853506962,-73.882203096
nonlethal,25-44,Black,Male,40.8824298810001,-73.861762856
nonlethal,0-17,Hispanic,Female,40.8397681290001,-73.914721185
nonlethal,25-44,Black,Male,40.841989922,-73.924494618
nonlethal,25-44,Hispanic,Male,40.8122928240001,-73.885426178
lethal,45-64,Hispanic,Male,40.8266336820001,-73.9391495899999
nonlethal,45-64,Black,Male,40.6600387900001,-73.921788291
lethal,25-44,Black,Male,40.596259048,-73.763922258
nonlethal,18-24,Black,Male,40.596519508,-73.907876929
nonlethal,18-24,Black,Male,40.730745906,-73.99986434
nonlethal,18-24,Hispanic,Male,40.810088815,-73.910207563
nonlethal,25-44,Black,Male,40.7578683620001,-73.788963197
lethal,18-24,Black,Male,40.7608500490001,-73.829253066
