shooting_type,age_group,race,sex,lat,lng
nonlethal,25,POC,Male,39.97638403,-75.17681138
nonlethal,25,POC,Male,39.97638403,-75.17681138
nonlethal,20,POC,Male,39.97638403,-75.17681138
nonlethal,30,POC,Male,39.99290589,-75.16779467
nonlethal,18,POC,Male,39.98145081,-75.17887203
nonlethal,25,POC,Male,39.98292351,-75.17860059
nonlethal,25,POC,Male,39.98292351,-75.17860059
nonlethal,30,POC,Male,39.98862168,-75.16071654
lethal,15,POC,Male,39.98736481,-75.17213462
lethal,65,POC,Male,39.97929102,-75.17075816
nonlethal,20,POC,Female,39.98371729,-75.18525586
lethal,30,POC,Male,39.99186294,-75.17007071
lethal,30,POC,Male,39.98135823,-75.17399511
nonlethal,30,POC,Male,39.99397187,-75.17762609
nonlethal,35,POC,Male,39.99390207,-75.17866691
nonlethal,55,POC,Male,39.98107175,-75.17244304
nonlethal,18,POC,Male,39.97371679,-75.24577518
nonlethal,45,POC,Male,39.96270505,-75.23791556
nonlethal,35,POC,Male,39.96270505,-75.23791556
nonlethal,15,POC,Male,39.96270505,-75.23791556
lethal,30,POC,Male,39.98145171,-75.24658305
nonlethal,20,POC,Male,39.97719231,-75.24211376
nonlethal,10,POC,Female,39.97241668,-75.23674659
nonlethal,25,POC,Male,39.97241668,-75.23674659
lethal,30,POC,Male,39.96558869,-75.23733892
nonlethal,55,POC,Male,39.96818036,-75.22535711
nonlethal,25,POC,Male,39.96818036,-75.22535711
lethal,30,POC,Male,39.97033589,-75.24732631
nonlethal,20,POC,Male,39.97018683,-75.23078694
nonlethal,25,POC,Male,39.97560008,-75.2436084
nonlethal,20,POC,Male,39.97293034,-75.24886907
lethal,30,POC,Male,39.9762446,-75.22303297
lethal,15,POC,Male,39.97900581,-75.24622631
nonlethal,55,POC,Male,39.96542929,-75.23904675
nonlethal,25,POC,Male,39.97307654,-75.23739278
nonlethal,18,POC,Male,39.97307654,-75.23739278
nonlethal,20,POC,Male,39.96537562,-75.23057854
nonlethal,30,POC,Male,39.96851619,-75.22832379
nonlethal,20,POC,Male,39.97882432,-75.2409334
nonlethal,35,POC,Male,39.97710474,-75.24393256
nonlethal,20,POC,Male,39.96712126,-75.24375789
nonlethal,35,POC,Male,39.97900581,-75.24622631
nonlethal,35,POC,Male,39.97900581,-75.24622631
lethal,18,POC,Male,39.97309703,-75.24136255
nonlethal,15,POC,Male,39.96857992,-75.24775701
nonlethal,18,POC,Male,39.96892108,-75.23536829
nonlethal,15,POC,Male,39.96712126,-75.24375789
nonlethal,20,POC,Male,39.97636145,-75.23266179
nonlethal,30,POC,Male,39.97935445,-75.22771247
nonlethal,30,POC,Male,39.9804334,-75.22698008
nonlethal,35,POC,Male,39.97167431,-75.23539103
nonlethal,35,POC,Male,39.96203828,-75.22524573
nonlethal,30,POC,Male,39.96868975,-75.23598109
lethal,5,POC,Male,39.9667694,-75.24920845
nonlethal,20,POC,Male,39.97815881,-75.23216648
nonlethal,20,POC,Male,39.96994859,-75.23915543
nonlethal,15,POC,Male,39.97577248,-75.22383576
lethal,30,POC,Male,39.98449805,-75.22949197
nonlethal,25,POC,Male,39.97289724,-75.23819054
lethal,20,POC,Male,39.97559855,-75.24279959
lethal,25,POC,Male,39.96593264,-75.22985902
nonlethal,20,POC,Male,39.97183565,-75.23629473
nonlethal,18,POC,Female,39.97183565,-75.23629473
nonlethal,45,POC,Male,40.00790354,-75.21180886
lethal,25,POC,Male,39.96317551,-75.24462367
nonlethal,25,POC,Male,39.96317551,-75.24462367
nonlethal,15,POC,Male,39.97577248,-75.22383576
nonlethal,25,POC,Male,39.96266762,-75.2329872
lethal,20,POC,Male,39.97054462,-75.23916408
nonlethal,18,POC,Male,39.96258326,-75.24272087
nonlethal,20,POC,Male,39.96258326,-75.24272087
lethal,25,POC,Male,39.96692473,-75.23013152
nonlethal,45,POC,Female,39.96311411,-75.23185552
nonlethal,20,POC,Male,39.97221575,-75.2460819
nonlethal,45,POC,Male,39.96243132,-75.2257375
nonlethal,25,POC,Male,39.97660333,-75.23955966
nonlethal,30,POC,Male,39.97356528,-75.22012022
nonlethal,30,POC,Male,39.96654551,-75.2327576
nonlethal,30,POC,Male,39.96272418,-75.23382992
nonlethal,20,POC,Male,39.96243132,-75.2257375
nonlethal,15,POC,Male,39.96243132,-75.2257375
nonlethal,15,POC,Male,39.96243132,-75.2257375
nonlethal,15,POC,Male,39.97278261,-75.23964492
lethal,20,POC,Male,39.96580149,-75.23291618
nonlethal,30,White,Male,39.97504612,-75.23070499
nonlethal,35,POC,Male,39.97701242,-75.24037887
nonlethal,15,POC,Male,39.97186272,-75.23521246
nonlethal,20,POC,Male,39.9712536,-75.23079593
nonlethal,25,POC,Male,39.9686659,-75.23884755
nonlethal,18,POC,Male,39.9712536,-75.23079593
nonlethal,65,POC,Male,39.97131562,-75.22591194
nonlethal,18,POC,Male,39.96368048,-75.22791699
nonlethal,45,POC,Male,39.97046799,-75.22567617
nonlethal,35,POC,Male,39.97573364,-75.24157969
lethal,35,POC,Male,39.96914506,-75.23028109
nonlethal,30,POC,Male,39.97401994,-75.22934326
lethal,30,POC,Male,39.97359757,-75.22761016
nonlethal,35,POC,Male,39.97388337,-75.24630221
nonlethal,45,POC,Male,39.96237302,-75.2326317
nonlethal,25,POC,Male,39.96684449,-75.24133183
nonlethal,30,POC,Male,39.97208966,-75.23289923
lethal,20,POC,Male,39.96712126,-75.24375789
nonlethal,20,POC,Male,39.97295303,-75.22619087
nonlethal,30,POC,Male,39.9623405,-75.23061137
nonlethal,35,POC,Male,39.97433385,-75.24075252
nonlethal,20,POC,Male,39.93782789,-75.22079613
nonlethal,20,POC,Male,39.96684449,-75.24133183
nonlethal,20,POC,Male,39.96305017,-75.24059425
nonlethal,45,POC,Male,39.97706903,-75.22640732
lethal,30,POC,Male,39.98398413,-75.23434447
nonlethal,20,POC,Male,39.97724488,-75.22698685
nonlethal,65,POC,Male,39.97862196,-75.23216408
nonlethal,15,POC,Male,39.96671566,-75.22911298
nonlethal,30,POC,Male,39.94303595,-75.22872075
nonlethal,18,POC,Male,39.96454668,-75.23630834
nonlethal,10,POC,Male,39.96790441,-75.23798602
nonlethal,15,POC,Male,39.96633299,-75.23788292
nonlethal,30,POC,Male,39.96176817,-75.23875953
nonlethal,20,POC,Female,39.96644049,-75.25113398
nonlethal,20,POC,Female,39.96176817,-75.23875953
nonlethal,35,POC,Male,39.97562551,-75.21382316
nonlethal,25,POC,Male,39.97761374,-75.23202697
lethal,20,White,Female,39.96922416,-75.24404893
nonlethal,20,POC,Female,39.96885945,-75.23248888
nonlethal,30,POC,Male,39.97343302,-75.22289667
nonlethal,25,POC,Male,39.979483,-75.23590864
nonlethal,45,POC,Male,39.97640948,-75.23548193
nonlethal,25,POC,Male,39.98017481,-75.22719913
nonlethal,20,POC,Male,39.96176817,-75.23875953
nonlethal,30,POC,Male,39.979483,-75.23590864
nonlethal,25,POC,Male,39.97067129,-75.23226155
nonlethal,18,POC,Male,39.97475103,-75.23826131
nonlethal,25,POC,Male,39.96409732,-75.23222858
nonlethal,15,POC,Male,39.97031124,-75.15886197
lethal,20,POC,Male,39.97143982,-75.22584416
nonlethal,20,POC,Male,39.9872975,-75.16318466
nonlethal,20,POC,Female,39.96232273,-75.22704976
nonlethal,20,POC,Male,39.97921743,-75.16343004
nonlethal,45,POC,Male,39.98853187,-75.23823256
nonlethal,35,POC,Male,39.98803329,-75.23751358
nonlethal,30,POC,Male,39.9692141,-75.22835783
lethal,20,POC,Male,39.98293567,-75.24827678
lethal,25,POC,Male,39.9872975,-75.16318466
nonlethal,18,POC,Male,39.968352,-75.23807366
nonlethal,18,POC,Male,39.98735497,-75.16362253
nonlethal,25,POC,Male,39.99280179,-75.14977939
nonlethal,30,POC,Male,39.99147683,-75.15023941
lethal,55,POC,Male,39.99207953,-75.17660132
nonlethal,20,POC,Male,39.99422372,-75.18357117
nonlethal,20,POC,Male,39.99422372,-75.18357117
nonlethal,35,POC,Male,39.98294716,-75.18517693
nonlethal,20,POC,Female,39.99530645,-75.17331106
nonlethal,35,POC,Male,39.97569151,-75.19191967
nonlethal,10,POC,Male,39.99242372,-75.18130122
nonlethal,15,POC,Male,39.99242372,-75.18130122
nonlethal,35,POC,Male,39.98950856,-75.16833133
lethal,35,POC,Male,39.98985249,-75.18239819
nonlethal,20,POC,Male,39.96922674,-75.15444587
lethal,25,POC,Male,39.99335038,-75.17475625
nonlethal,20,POC,Male,39.96922674,-75.15444587
nonlethal,55,POC,Male,39.98852006,-75.16336118
nonlethal,45,POC,Male,39.99383245,-75.18099605
nonlethal,15,POC,Male,39.96990274,-75.1576286
nonlethal,20,POC,Male,39.98752308,-75.16576522
lethal,18,POC,Female,39.97251568,-75.15352047
nonlethal,20,POC,Male,39.97251568,-75.15352047
nonlethal,15,POC,Male,39.98910742,-75.1548214
nonlethal,20,POC,Male,39.97251568,-75.15352047
nonlethal,25,POC,Male,39.97251568,-75.15352047
nonlethal,15,POC,Male,39.97596194,-75.17020678
nonlethal,20,POC,Male,39.98100466,-75.1678912
lethal,25,POC,Male,39.98103376,-75.16406619
lethal,25,POC,Male,39.98103376,-75.16406619
lethal,35,POC,Male,39.99027813,-75.16828242
nonlethal,20,POC,Male,39.98183543,-75.174041
lethal,30,POC,Male,39.98762169,-75.18195213
lethal,18,POC,Male,39.97985149,-75.18061214
lethal,20,POC,Male,39.98962185,-75.15421376
lethal,25,POC,Male,39.98152311,-75.16768785
nonlethal,0,POC,Male,39.99492445,-75.17034758
nonlethal,18,POC,Female,39.99492445,-75.17034758
nonlethal,35,POC,Female,39.99492445,-75.17034758
nonlethal,25,POC,Female,39.99492445,-75.17034758
nonlethal,20,POC,Male,39.98209441,-75.17228535
nonlethal,10,POC,Female,39.99492445,-75.17034758
lethal,25,POC,Male,39.9755051,-75.16847594
lethal,25,POC,Male,39.98346006,-75.16861951
nonlethal,45,POC,Male,39.96580238,-75.15687316
nonlethal,45,POC,Male,39.99085151,-75.15529537
nonlethal,20,POC,Male,39.98602148,-75.18483091
nonlethal,35,POC,Male,39.98522153,-75.17232211
lethal,25,POC,Male,39.98782235,-75.18066038
nonlethal,25,POC,Male,39.98522153,-75.17232211
nonlethal,45,POC,Male,39.99619123,-75.17250571
nonlethal,30,POC,Male,39.97989542,-75.16755546
nonlethal,15,POC,Male,39.98534443,-75.17697329
nonlethal,30,POC,Male,39.98701491,-75.18255033
lethal,35,POC,Male,39.99239394,-75.1505693
nonlethal,35,POC,Male,39.98701491,-75.18255033
nonlethal,30,POC,Male,39.98893298,-75.16328225
nonlethal,35,POC,Male,39.97165484,-75.16041906
nonlethal,20,POC,Male,39.9826095,-75.18668003
lethal,20,POC,Male,39.98359714,-75.17187541
nonlethal,20,POC,Male,39.98359714,-75.17187541
nonlethal,20,POC,Male,39.98967921,-75.15725115
