shooting_type,age_group,race,sex,lat,lng
nonlethal,35,POC,Female,34.0109,-118.3012
nonlethal,45,POC,Male,34.049,-118.2602
nonlethal,20,POC,Male,34.0387,-118.2584
nonlethal,45,POC,Male,34.0691,-118.2613
nonlethal,55,POC,Male,34.0747,-118.2686
nonlethal,30,POC,Male,34.0691,-118.2613
nonlethal,45,POC,Male,34.0461,-118.2475
nonlethal,35,POC,Male,34.0352,-118.2583
nonlethal,45,POC,Male,34.0461,-118.2475
nonlethal,30,POC,Male,34.0387,-118.2584
nonlethal,15,POC,Male,34.0558,-118.2645
nonlethal,30,POC,Female,34.0685,-118.246
nonlethal,25,POC,Male,34.0334,-118.2668
nonlethal,30,POC,Male,34.0814,-118.2962
nonlethal,18,POC,Male,34.0099,-118.3446
nonlethal,20,POC,Male,34.059,-118.2737
nonlethal,30,POC,Male,33.7827,-118.2673
nonlethal,20,POC,Male,34.0435,-118.2427
nonlethal,65,POC,Male,34.0442,-118.2439
nonlethal,25,POC,Male,34.059,-118.2737
nonlethal,25,POC,Male,33.7827,-118.2673
nonlethal,30,POC,Male,34.0171,-118.3531
nonlethal,30,POC,Male,34.0609,-118.2052
lethal,20,POC,Male,34.0096,-118.3023
nonlethal,30,POC,Male,34.055,-118.2749
nonlethal,30,POC,Male,34.0311,-118.3405
lethal,35,POC,Male,34.0907,-118.188
nonlethal,18,POC,Male,34.0301,-118.3636
lethal,45,POC,Male,34.0534,-118.2788
nonlethal,20,POC,Female,34,-118.3307
nonlethal,30,POC,Male,34.0056,-118.3333
nonlethal,20,POC,Male,34.0609,-118.2052
lethal,45,POC,Male,34.1045,-118.185
nonlethal,20,POC,Male,34.0477,-118.2751
lethal,35,POC,Male,34.0757,-118.1711
nonlethal,30,POC,Male,34.048,-118.2288
nonlethal,45,POC,Female,34.0817,-118.2941
nonlethal,18,POC,Male,34.0818,-118.2856
nonlethal,30,POC,Male,34.0818,-118.2856
lethal,20,POC,Male,34.0453,-118.2088
nonlethal,55,POC,Female,34.0429,-118.2462
lethal,30,POC,Male,33.7833,-118.2528
nonlethal,45,POC,Male,34.0757,-118.1711
lethal,35,POC,Male,34.0072,-118.3201
nonlethal,18,POC,Male,34.0609,-118.2052
nonlethal,20,POC,Male,34.0132,-118.3457
lethal,18,POC,Male,34.0567,-118.2815
nonlethal,25,POC,Male,34.0149,-118.3536
nonlethal,25,POC,Male,34.0061,-118.3046
nonlethal,35,POC,Male,34.0354,-118.2077
nonlethal,75,POC,Female,34.0278,-118.3378
nonlethal,35,POC,Male,34.0431,-118.2185
nonlethal,55,POC,Male,34.0325,-118.3613
nonlethal,30,POC,Male,34.0461,-118.2475
nonlethal,20,POC,Female,34.0648,-118.2313
nonlethal,45,POC,Male,34.0387,-118.2582
nonlethal,25,POC,Male,34.036,-118.2568
lethal,30,POC,Male,34.0237,-118.3722
nonlethal,45,POC,Female,34.0175,-118.1975
nonlethal,25,POC,Male,34.0373,-118.2053
nonlethal,20,POC,Male,34.0437,-118.2582
nonlethal,30,POC,Male,34.0327,-118.3155
nonlethal,20,POC,Male,34.0818,-118.2204
nonlethal,35,POC,Male,34.0325,-118.3613
lethal,20,POC,Male,34.0733,-118.2728
nonlethal,30,POC,Male,34.0423,-118.2236
nonlethal,25,POC,Male,34.0451,-118.1925
